School ID,EducationUnits,Total,White,AfricanAmerican,API,NativeAmericanAlaskan,Hispanic,MR,Asian,HPR,NA
609897,Charles W Earle Elementary School,394,0,394,0,0,0,Nan,Nan,Nan,Nan
609898,John F Eberhart Elementary School,"1,824",45,113,2,0,"1,664",Nan,Nan,Nan,Nan
609899,Christian Ebinger Elementary School,551,421,7,22,7,94,Nan,Nan,Nan,Nan
609900,George W Curtis Elementary School,470,1,459,1,0,9,Nan,Nan,Nan,Nan
609901,Edgebrook Elementary School,424,285,11,48,3,77,Nan,Nan,Nan,Nan
609902,Ralph H Metcalfe Elementary Community Academy,647,3,643,0,0,1,Nan,Nan,Nan,Nan
609903,Richard Edwards Elementary School,"1,248",85,10,8,0,"1,145",Nan,Nan,Nan,Nan
609904,Edward K Ellington Elementary School,470,0,464,0,0,6,Nan,Nan,Nan,Nan
609906,Robert Emmet Elementary School,538,0,537,1,0,0,Nan,Nan,Nan,Nan
609907,Leif Ericson Elementary Scholastic Academy,585,0,581,0,0,4,Nan,Nan,Nan,Nan
609908,Esmond Elementary School,430,2,422,0,1,5,Nan,Nan,Nan,Nan
609909,Edward Everett Elementary School,363,20,3,11,0,329,Nan,Nan,Nan,Nan
609910,Laughlin Falconer Elementary School,"1,560",93,38,18,0,"1,411",Nan,Nan,Nan,Nan
609912,James B Farnsworth Elementary School,612,285,24,63,4,236,Nan,Nan,Nan,Nan
609913,Elaine O Goodlow Elementary Magnet School,533,3,526,1,0,3,Nan,Nan,Nan,Nan
609915,Foundations Elementary School,81,0,81,0,0,0,Nan,Nan,Nan,Nan
609916,Enrico Fermi Elementary School,239,2,236,0,0,1,Nan,Nan,Nan,Nan
609917,Fernwood Elementary School,440,1,435,2,1,1,Nan,Nan,Nan,Nan
609918,Eugene Field Elementary School,335,18,132,23,0,162,Nan,Nan,Nan,Nan
609919,John Fiske Elementary School,322,1,320,0,0,1,Nan,Nan,Nan,Nan
609920,Gerald Delgado Kanoon Elementary Magnet School,701,1,5,0,0,695,Nan,Nan,Nan,Nan
609921,Telpochcalli Elementary School,252,6,3,0,2,241,Nan,Nan,Nan,Nan
609922,Belmont-Cragin Elementary School,626,34,12,9,0,571,Nan,Nan,Nan,Nan
609924,Fort Dearborn Elementary School,612,2,606,1,0,3,Nan,Nan,Nan,Nan
609925,Joseph Kellman Corporate Community ES,305,0,305,0,0,0,Nan,Nan,Nan,Nan
609926,Franklin Elementary Fine Arts Center,358,116,132,45,3,62,Nan,Nan,Nan,Nan
609927,Foster Park Elementary School,546,1,540,0,0,5,Nan,Nan,Nan,Nan
609928,Melville W Fuller Elementary School,283,1,282,0,0,0,Nan,Nan,Nan,Nan
609929,Robert Fulton Elementary School,654,1,538,1,1,113,Nan,Nan,Nan,Nan
609930,Frederick Funston Elementary School,564,9,66,0,0,489,Nan,Nan,Nan,Nan
609932,Jesse Owens Elementary Community Academy,418,1,409,0,2,6,Nan,Nan,Nan,Nan
609933,Stephen F Gale Elementary Community Academy,539,14,366,24,0,135,Nan,Nan,Nan,Nan
609935,Matthew Gallistel Elementary Language Academy,"1,379",26,49,0,0,"1,304",Nan,Nan,Nan,Nan
609937,John W Garvy Elementary School,644,403,10,64,1,166,Nan,Nan,Nan,Nan
609938,Joseph E Gary Elementary School,"1,232",8,2,1,0,"1,221",Nan,Nan,Nan,Nan
609939,Frank L Gillespie Elementary School,536,0,531,0,0,5,Nan,Nan,Nan,Nan
609941,Asa Philip Randolph Elementary School,752,2,748,0,1,1,Nan,Nan,Nan,Nan
609942,Johann W von Goethe Elementary School,764,61,29,7,0,667,Nan,Nan,Nan,Nan
609943,Samuel Gompers Fine Arts Options ES,358,1,356,0,0,1,Nan,Nan,Nan,Nan
609944,Virgil Grissom Elementary School,346,104,24,5,1,212,Nan,Nan,Nan,Nan
609945,William C Goudy Elementary School,712,91,129,271,0,221,Nan,Nan,Nan,Nan
609947,Alexander Graham Elementary School,537,204,152,0,0,181,Nan,Nan,Nan,Nan
609949,William P Gray Elementary School,"1,252",227,40,41,4,940,Nan,Nan,Nan,Nan
609950,Josefa Ortiz De Dominguez Elementary School,789,3,2,0,0,784,Nan,Nan,Nan,Nan
609951,Ariel Elementary Community Academy,454,2,443,1,0,8,Nan,Nan,Nan,Nan
609952,Nathanael Greene Elementary School,596,44,4,10,0,538,Nan,Nan,Nan,Nan
